filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2017-03-01T00:00:00Z,1451,1870,88217,419,0.004749651,0.021197728,0.016448077,2017,PBCT
2018-03-01T00:00:00Z,1484,2004,92240,520,0.005637467,0.021725932,0.016088465,2018,PBCT
2019-03-01T00:00:00Z,1582,2006,93157,424,0.004551456,0.02153354,0.016982084,2019,PBCT
2006-03-28T00:00:00Z,1511,1968,88756,457,0.005148948,0.022173149,0.017024201,2006,GM
2007-03-15T00:00:00Z,2436,3371,143720,935,0.006505706,0.02345533,0.016949624,2007,GM
2008-02-28T00:00:00Z,2502,3712,150643,1210,0.008032235,0.024641039,0.016608804,2008,GM
2009-03-05T00:00:00Z,3930,6119,241427,2189,0.009066923,0.025345135,0.016278212,2009,GM
2013-05-21T00:00:00Z,456,2018,42467,1562,0.036781501,0.04751925,0.010737749,2013,GM
2014-05-22T00:00:00Z,451,2178,49677,1727,0.034764579,0.043843227,0.009078648,2014,GM
2015-05-22T00:00:00Z,569,2271,53396,1702,0.031875047,0.042531276,0.010656229,2015,GM
2016-05-25T00:00:00Z,582,2324,52134,1742,0.033413895,0.044577435,0.01116354,2016,GM
2017-05-25T00:00:00Z,686,2435,54757,1749,0.031941122,0.0444692,0.012528079,2017,GM
2018-06-11T00:00:00Z,687,2502,56489,1815,0.032130149,0.044291809,0.01216166,2018,GM
2011-03-18T00:00:00Z,1165,1586,83229,421,0.005058333,0.019055858,0.013997525,2011,LYB
2012-02-29T00:00:00Z,1208,1725,87179,517,0.005930327,0.019786875,0.013856548,2012,LYB
2013-02-12T00:00:00Z,979,1283,64382,304,0.004721817,0.01992793,0.015206114,2013,LYB
2014-02-20T00:00:00Z,973,1279,62492,306,0.004896627,0.02046662,0.015569993,2014,LYB
2015-02-17T00:00:00Z,1079,1435,67170,356,0.005299985,0.021363704,0.016063719,2015,LYB
2016-02-16T00:00:00Z,1215,1509,71184,294,0.004130142,0.021198584,0.017068442,2016,LYB
2017-02-17T00:00:00Z,1133,1461,66369,328,0.004942066,0.022013289,0.017071223,2017,LYB
2018-02-22T00:00:00Z,1092,1482,65606,390,0.005944578,0.022589397,0.016644819,2018,LYB
2019-02-21T00:00:00Z,1030,1566,68053,536,0.007876214,0.023011476,0.015135262,2019,LYB
