filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2011-02-23T00:00:00Z,711,908,44931,197,0.004384501,0.020208765,0.015824264,2011,ALK
2012-02-21T00:00:00Z,619,798,37500,179,0.004773333,0.02128,0.016506667,2012,ALK
2013-02-14T00:00:00Z,572,829,37784,257,0.006801821,0.021940504,0.015138683,2013,ALK
2014-02-13T00:00:00Z,581,878,39491,297,0.007520701,0.022232914,0.014712213,2014,ALK
2015-02-11T00:00:00Z,597,903,39345,306,0.007777354,0.02295082,0.015173465,2015,ALK
2016-02-11T00:00:00Z,579,930,40100,351,0.008753117,0.02319202,0.014438903,2016,ALK
2017-02-28T00:00:00Z,717,1136,47745,419,0.008775788,0.023793067,0.015017279,2017,ALK
2018-02-15T00:00:00Z,667,1141,48112,474,0.009852012,0.023715497,0.013863485,2018,ALK
2019-02-15T00:00:00Z,695,1066,47340,371,0.007836924,0.022517955,0.014681031,2019,ALK
2010-02-26T00:00:00Z,871,1671,58203,800,0.013744996,0.02870986,0.014964864,2010,ALB
2011-02-25T00:00:00Z,894,1587,61212,693,0.01132131,0.025926289,0.014604979,2011,ALB
2012-02-22T00:00:00Z,856,1627,60633,771,0.012715848,0.026833572,0.014117725,2012,ALB
2013-02-15T00:00:00Z,967,1705,63807,738,0.011566129,0.026721206,0.015155077,2013,ALB
2014-02-25T00:00:00Z,900,1589,61281,689,0.011243289,0.025929734,0.014686444,2014,ALB
2015-03-02T00:00:00Z,1149,1815,73316,666,0.009083965,0.024755851,0.015671886,2015,ALB
2016-02-29T00:00:00Z,1171,1840,74131,669,0.009024565,0.024820925,0.01579636,2016,ALB
2017-02-28T00:00:00Z,1220,1860,74272,640,0.008616975,0.025043085,0.016426109,2017,ALB
2018-02-28T00:00:00Z,1196,1877,75769,681,0.008987845,0.024772664,0.01578482,2018,ALB
2019-02-27T00:00:00Z,1161,1806,73829,645,0.008736404,0.024461932,0.015725528,2019,ALB
2010-03-01T00:00:00Z,969,1293,59712,324,0.005426045,0.021653939,0.016227894,2010,ARE
2011-03-01T00:00:00Z,1125,1381,68790,256,0.003721471,0.020075592,0.016354121,2011,ARE
2012-02-21T00:00:00Z,1314,1555,76990,241,0.003130277,0.020197428,0.017067152,2012,ARE
2013-02-26T00:00:00Z,1409,1708,87883,299,0.003402251,0.019434931,0.01603268,2013,ARE
2014-03-03T00:00:00Z,1320,1599,80450,279,0.003467993,0.019875699,0.016407707,2014,ARE
2015-02-24T00:00:00Z,1405,1663,85360,258,0.003022493,0.019482193,0.0164597,2015,ARE
2016-02-03T00:00:00Z,1459,1817,89149,358,0.004015749,0.020381608,0.016365859,2016,ARE
2017-01-31T00:00:00Z,1640,1920,92755,280,0.003018705,0.020699693,0.017680988,2017,ARE
2018-01-30T00:00:00Z,1715,2230,100928,515,0.005102647,0.022094959,0.016992311,2018,ARE
